eng,ssw
"between 2017 and 2020, nearly 500 empowerment transactions were submitted for registration to the bbbee commission.
","emkhatsini wa2017 na2020, cishe tivumelwane tekutfutfukiswa letinge500 tangeniswa kutsi tibhaliswe kukhomishini yebbbee.
"
"in key sectors such as construction, property, information and communications technology, tourism and transport, black ownership has exceeded targets.
","kumikhakha lemcoka lefanana neyekwakha, yetindlu, lwatiso nebuchwepheshe betekuchumana, tekuvakasha netekutfutsa, bunikati bebantfu labamnyama bengce imigomo lebeyihlosiwe.
"
"economic transformation and economic growth are intertwined.
","ingucuko kutemnotfo kanye nekukhula kutemnotfo kwetfungene kutselelana emanti.
"
"there cannot be one without the other.
","lokunye ngeke kube khona ngaphandle kwalokunye.
"
"by integrating transformation into the process of industrialisation, we are advancing a more inclusive growth model that shares, rather than concentrates, wealth.
","ngekuhlanganisa tetingucuko kutsi tibe yinchubo yetetimboni, sitfutfukisa kakhulu indlela yekukhula kwemnotfo lokufaka wonkhe wonkhe kube nekwabelana, kunekutsi umcebo ugcile endzaweni yinye.
"
"the department of trade, industry and competition (dtic) is pursuing this goal through various programmes.
","litiko letekuhweba, timboni nekuchudzelana (idtic) lichuba lenjongo ngekusebentisa tinhlelo letahlukahlukene.
"
"they include a support programme for township businesses, exportrelated training by the industrial development corporation (idc) to black, women and youthowned businesses, and increased infrastructure budget to smmes in the tshwane special economic zone.
","lisebentisa luhlelo lwekwesekela emabhizinisi lasemalokishini, kuceceshwa lokuphatselene ngekutfumela umkhicito ngephandle kulelive lokwentiwa ikoporasi yetekutfutfukiswa tetimboni (iidc) kumabhizinisi alabamnyama, abomake newelusha, kanye nekwandzisa tabelomali tetakhiwonchanti kumasmme etindzaweni tekuhweba ne kuchuba ibhizinisi ngekulandzela imitsetfosimiso lehlukile etshwane.
"
"through sectoral masterplans we are driving localisation that benefits black owned businesses.
","ngekusebentisa emasu lamakhulu emikhakha sichuba kutsi kugcilwe endzaweni yemmango letakwenta ku tsi emabhizinisi ebantfu labamnyama azuze.
"
"for example, 10 black contract growers have been established with an investment of r336 million as part of the poultry masterplan.
","sibonelo, kusungulwe bafuyi beti nkhukhu laba10 labamnyama ngelutjalomali lwetigidzi letinger336 njengencenye yelisu lelikhulu letinkhukhu.
"
"government has also launched a black exporters network that will connect blackowned companies in food, engineering products, auto components, beauty products and other sectors of the economy.
","hulumende uphindze futsi wetfula inethiwekhi yalaba mnyama labatsengisela emave angephandle latawuchumanisa emabhizinisi alabamnyama mayelana nekudla, nemikhicito yebunjiniyela, tincenye tetimoto, imikhicito yekutenta muhle kanye naleminye imikhakha yemnotfo.
"
"as part of our drive to create a new generation of black industrialists, last year government approved r2.5 billion in new support to about 180 black industrialists in the form of loans from the idc and national empowerment fund (nef) and grants from the dtic incentive scheme.
","njengenchenye yemkhankhaso wetfu wekudala bosotimboni labamnyama labasha, kulomnyaka lo phelile hulumende uvume tigidzigidzi letir2.5 ekusekeleni lokusha bosotimboni labamnyama labalinganiselwa ku180 ngemalimboleko lekhishwe yiidc nesikhwama savelonkhe sekutfutfukisa (inef) kanye sibonelelomali lesivela kusikimi sesikhutsati sakadtic.
"
"over the next three years a further r21 billion has been committed by the idc, nef and other institutions to support black industrialists.
","kuleminyaka lemitsatfu letako kukhona futsi letinye tigidzigidzi letinger21 letetsenjiswe yiidc, yinef kanye naletinye tikhungo kute kwesekelwe bosotimboni labamnyama.
"
"an additional r25 billion has been committed to support black, women, youth and workerowned companies.
","kukhona futsi tigidzigidzi letinger25 letengetiwe letetsenjisiwe tekwesekela tinkampani talabamnyama, tabomake, lusha kanye netebasebenti.
"
"it is clear that much more work needs to be done to address the many challenges that black businesses face.
","kuyacaca kutsi kusafanele kutsi kwentiwe umsebenti lomkhulu kute kulungiswe tinsayeya letinyenti emabhi zinisi alabamnyama labukene nato.
"
"this includes the difficulty of accessing startup and expansion capital and the ability of smmes to find markets for their products.
","loku kufaka ekhatsi bulukhuni bekufinyelela kutfola imali yekucala ibhizinisi kanye neyekuyikhulisa kanye nekutsi emasmme atfole emamakethe emikhicito yawo.
"
"black womenowned businesses, in particular, encounter difficulties in taking on largescale empowerment transactions.
","emabhizinisi abomake labamnyama, ikakhulu ahlangabetana nebulukhuni kutivumelwane letinkhulu tekutsengiselana.
"
"breaking the cycle of underdevelopment through black economic empowerment is not just a moral imperative; it also makes business sense.
","kubhidlita lomjikeleto wekubete intfutfuko ngekusebentisa kutfutfukiswa kwalabamnyama akusiko kuphela sento lesikhombisa kwenta lokufanele; kuphindze futsi kwente ingcondvo levakalako yebhizinisi.
"
"the continued exclusion of the black majority from the economy’s mainstream constrains economic growth, which ultimately impacts all business.
","lokukhishelwa ngephandle lokuchubekako kwelinyenti lebantfu labamnyama ku mnotfo lomkhulu kukhinya beta kukhula kutemnotfo, ekugcineni kuba nemtselela kuyo yonkhe ibhizinisi.
"
"expanding the country’s entrepreneurial base is fundamental to growth.
","kwengeta sisekelo setebhizinisi salelive kumcoka kakhulu ekutseni kube nekukhula kwemnotfo.
"
"we have a shared responsibility to drive the effort to entrench bbbee because it is about eradicating inequality.
","sinesibopho sekwabelana kutsi sichube umtamo wekugcizelela ibbbee ngobe imayelana nekususa kungalingani.
"
"unequal economies breed unequal societies, and unequal societies don’t grow and flourish.
","iminotfo lengalingani idala kutsi kube nemimango lengalingani, nekutsi imimango lengalingani ayikhuli futsi ayichumi.
"
"it is not only wrong, but also unsustainable, for businesses to keep their management and ownership structures mostly white or male.
","hhayi kutsi akukalungi kuphela, kodvwa kuphindze futsi kungabi nekusimama, kugcina tinhlaka tebunikati nekulawula kube setandleni kakhulu talabamhlophe nome talabadvuna.
"
"it is, after all, the south african public that are the primary consumers of their goods and services.
","kahle hle, kuko konkhe, ngabantfu baseningizimu afrika labangebatsengi bekucala balemikhicito naletinsita.
"
"this should be reflected in diversity of hiring and management practices, in ownership and in procurement.
","loku kufanele kutsi kubonakale kunekwehlukahlukana ekucasheni nasetentweni tekulawula, kubunikati nasekutsengeni imphahla.
"
"broadbased black economic empowerment will only be achieved through partnership and a shared commitment to transformation.
","kutfutfukiswa kabanti kwalabamnyama ngekwetemnotfo kutawufezekiswa kuphela ngekutsi kubambisanwe kanye nekwabelana ngekutinikela kutsi kwentiwe tingucuko.
"
"the appointment of the new bbbee council will help us to expand the frontiers of broadbased black economic empowerment.
","kucokwa kwemkhandlu lomusha webbbee kutasisita kutsi sengete iminyele yekutfutfukiswa kabanti kwebantfu labamnyama kutemnotfo.
"
"i call on business, labour and industry to work with the council as it undertakes this vital work.","ngicela emabhizinisi, basebenti kanye netimboni kutsi tisebentisane nalomkhandlu njengaloku wenta lomsebenti lomcoka nakangaka."
