nbl,tso
"abantu abatjha ba hlala badosa phambili emza balazweni, akukhethi bona bafuna ifundo yasimahla nofana balwisana nokumbi okwenzakala emphakathini okufana nokuhlunguphazwa ngokobulili.
","vantshwa va tshame va ri emahlweni ka vugi ngirikeli, hambi eku laveni ka dyondzo ya mahala kumbe ku lwisana na swilo leswi karhataka vanhu ku fana na madzolonga lama simekiweke eka rimbewu.
"
"namhlanje umzabalazo abantu abatjha abaqalene nawo kulwisana nokukhuphuka kwamazinga woku ngatholi imisebenzi solo kwehla ingogwana yecovid19.
","namuntlha nyimpi le yikulu leyikulukumba leyi vantshwa va nga hi hloma i ku lwisana na ku pfumaleka ka mitirho, leswi nga nyanya ehansi ka ntungukulu wa covid19.
"
"ukuvulela abantu abatjha amathuba amanengi, begodu nokufinyelela kwelutjha emathubeni la kuyinto eliqalontanzi likarhulumende.
","ku tumbuluxela vantshwa swivandlanene, na ku fikelela swivandlanene swoleswo, i xirhangana lexikulu xa mfumo.
"
"koke esikwenzako singu rhulumende kusiza eku thuthukiseni amaphilo wa bantu abatjha.
","hinkwaswo leswi hi swi endlaka tanihi mfumo swi hoxa xandla eka ku antswisa vutomi bya vantshwa.
"
"ukuqalana nomraro wokungasebenzi kwelutjha kufuna bona kube nokukhula okumsinya kwezomnotho, khulukhulu imikhakha yezabasebenzi, begodu nekwakheni ikghono lombuso ukufeza indima yawo yokuthuthuka.
","ku tirhana na ku pfumaleka ka mitirho eka vantshwa swi lava ku hatlisisa ku kula ka ikhonomi, ngopfungo pfu tisekitara leti tirhisaka vatirhi vo tala kutlula mi chini, na ku aka vuswikoti bya mfumo byo hetisisa ntirho wa wona wa nhluvukiso.
"
"sisaraga ngehlelo ngoku ngenelela kilokhu okuhlosi weko.
","hi tlhela hi lawula ajenda leyi hi ku tirhisa miphalalo leyi pakanisiweke.
"
"lokhu kufaka hlanga na ihlelo likamengameli lokusungulela ilutjha imisebenzi, elilethe ama thuba wemisebenzi begodu nokusekelwa kwamaphilo wabantu abatjha.
","leswi swi katsaxihlohloteri xa miti rho wa phuresidente, lexi xi nyikeke swiva ndlanene swa mitirho na nseketelo wa vutihanyisi eka vantshwa.
"
"sethule amagadango ama nengi angezelelweko woku vula amathuba, ukuthuthu kisa amakghono, ukusekela abosorhwebo abasakhasako begodu ukunikela ithuba lokuzibandakanya kwabantu abatjha kezomotho.
","hi simekile magoza yo hambanahambana yo engetela ku tumbuluxa swivandlanene, ku tiyisa nhluvukiso wa swikili, ku seketela van’wamabi ndzu va vantshwa na ku endla leswaku vantshwa va kota ku teka xiave eka ikhonomi hi ku hetiseka.
"
"lokhu kufaka hlangana ukusungulwa kwenational pathway management ne twork, yelutjha lesewula afrika, ukwenza bona izi nto zibe lula ukuze abantu abatjha babone begodu bafinyelele emathubeni nekusekelweni ukuze ba thole iindlela zokungena kumakethe yezabasebenzi.
","leswi swi katsa ku tumbu luxiwa ka netiweke ya malawulelo ya ndlela ya rixaka, vantshwa va afrikadzonga, ku olovi sela vantshwa ku vona na ku fikelela swivandlanene na ku kuma nseketelo lowu tirhaka wo kuma tindlela to nghena eka makete wa vatirhi.
"
"lokhu kuhlangana nama qalontanzi wokuthoma we hlelo likamengameli loku sungulela ilutjha imise benzi, asungulwa eemvekeni ezingaphambili kobana singene ekuqintelisweni kwamakhambo neminye imisebenzi elizweni loke unyaka odlulileko begodu okwanje sekuzokusebenza ngokuzeleko.
","leswi swi kumeka exi karhi ka swirhangana swa mphalalo wa ku thoriwa ka vantshwa wa phuresidente, loku nga simekiwa mavhiki hi nga se nghena eka ku pfariwa ka tiko hinkwaro lembe leri nga hundza naswona leswi se swi sungulaka ku tirhisiwa hi ku hetiseka.
"
"ihlelo likamengameli lokusungulela ilutjha imisebenzi lakhiwa ngokuzwisisa bona ukwethula ikinga yokunga sebenzi kwelutjha kufuna ukucabanga okutjha begodu nokubambisana okuqinileko emphakathini.
","mphalalo wa ku thoriwa ka vantshwa wa phureside nte wu akiwile ehenhla ka ku twisisa leswaku ku lulamisa nkitsikitsi wa ku pfumaleka ka mitirho eka vantshwa swi lava ku ehleketa hi vutu mbuluxi na ku tirhisana loku tiyeke eka rixaka hinkwaro.
"
"ihloso ekulu kuthola ama modeli asebenzako, nanoma ngabe kusekuthuthukiseni amakghono nofana kumakethe yezabasebenzi, begodu nokumeda lokhu msinyazana ukufinyelela abantu abatjha abanengi.
","xikongomelo xa wona xo hetelela i ku kuma timo dlolo leti ti tirhaka, hambi eka nhluvukiso wa swikili kumbe tipholisi ta makete wa vatirhi leti tirhaka, na ku swi pima hi xihatla ku fikelela vantshwa vo tala hilaha swi kotekaka hakona.
"
"okuqakatheke khulu kukuthi, kuyabonakalisa bona abantu abatjha kufanele babekhona ekulingeni ukuthuthukisa ukusebenza kwelutjha.
","xa nkoka swinene, wu tekela enhlokweni leswaku vantshwa va boheka ku va exivindzini xa matshalatshala wahi kumbe wahi ya ku nyika matimba ku thoriwa ka vantshwa.
"
"abantu abatjha baligugu lethu elikhulu, begodu sikhali sethu esikhulu epini esikiyo le.
","vantshwa i rifuwo ra hina lerikuluku mba, na xitlhavana lexiku lukumba eka nyimpi leyi.
"
"siyazikhakhazisa ngokuqina komuntu omutjha ngamunye odlala indima yakhe ekwakheni begodu ekuthuthukiseni ilizwe lekhethu.
","hi losa ku tiyisela ka mu ntshwa un’wana na un’wa na lontshwa loyi a endlaka xiphemu xa ntirho wa yena ku aka na ku hluvukisa tiko leri.
"
"bababantu abatjha abazinikelako emiphakathini yethu, ekwakheni ilizwe lethu ngehlelo lokusungulela ilu tjha imisebenzi, ukuraga amarhwebo wabo begodu nokufunda ukuze babe babantu abaphila ngcono.
","hi vona vantshwa lava tinyiketelaka ku tirha eka miganga ya ka hina, ku aka tiko ra ka hina hi ku tirhisa xihlohloteri xa mitirho xa phuresidente, ku fambisa mabindzu ya vona vini na ku dyondza ku va va tiantswisa.
"
"bababantu abatjha abakha iindlela zabo begodu badosa phambili imindeni yabo kanye nabo.
","hi vona vantshwa lava kumaka tindlela ta vona vini na ku ta swin’we na mindyangu ya vona.
"
"siyazikhakhazisa ngabantu abatjha abasolo basebenzela ukuthuthukisa ipilo yabo.
","hi losa vantshwa lava va yaka emahlweni na ku antswisa vutomi bya vona.
"
"abantu abatjha balima yabo indima, batlhoga urhulumende begodu nomphakathi woke nokulima yethu indi ma.
","vantshwa va endla xiphemu xa vona; va dinga, naswona hakunene, rixaka hinkwaro, ku va hi endla xa hina.
"
"ilizwe lekhethu lihlanga bezene neenkhathi ezibudisi khulu, kodwana sisebenza imihla yoke ukubuyisa ithemba.
","tiko ra ka hina ri le ka mikarhi yo tika swinene, kambe hi le ku tirheni siku na siku ku ndlandlamuxa vugimamusi bya ku tshemba.
"
"sibona amatshwayo ama hle wokukhula komnotho begodu sinesiqiniseko soko bana lokhu kuzokutjhu guluka kulethe amathuba angcono kibo boke abantu.
","hi vona swihluke swa rihlaza swa ku kula eka ikho nomi ya hina, naswona ha tshemba leswaku leswi swi ta hundzuka swiva ndlanene swo antswa swa hinkwavo.
"
"okwanje umsebenzi wethu kuqinisekisa bona abantu abatjha bakulungele begodu bayakghona ukufinyelela amathuba la, begodu nokuzakhela wabo amathuba ekorweni yomnotho.",xintirhwana xa hina sweswi i ku tiyisisa leswaku vantshwa va lunghekile na ku kota ku fikelela swivandlanene leswi na ku titumbuluxela swa vona vini.
