eng,tso
"nevertheless, the survey also found that young people of this generation are open to learning about key historical events and believe in their continued importance.
","hambiswiritano, mbala ngo lowu wu tlhele wu kuma leswaku vantshwa va rixaka leri va swi lava ku dyondza hi swiendleko swa matimu ya nkoka naswona va tshe mba eka ku tshama swi ri swa nkoka ku ya ema hlweni.
"
"we need to do more as a country to ensure that the message of 1976 is transmitted faithfully.
","hi dinga ku endla swo tala tanihi tiko ku tiyisisa leswaku hungu ra 1976 ri hundziseriwa emahlweni hi ku tshembeka.
"
"this is a collective responsibility of government, schools, tertiary institutions, parents, families, musicians, artists, and all of society.
","lebyi i vutihlamuleri bya nhlanganelo bya mfumo, swikolo, mihlangano ya dyondzo ya le henhla, vatswari, mindyangu, vayi mbeleri, vatshila, na rixaka hinkwaro.
"
"the generation that was born after apartheid ended inherited a country with a democratic constitution and where fundamental freedoms are protected.
","rixaka leri nga velekiwa endzhakukaloko mfumo wa xihlawuhlawu wu heri siwile ri kume ndzhaka ya tiko leri nga na vumbiwa ra xidemokirasi naswona laha mitshunxeko ya nkoka yi sirheleriwaka.
"
"the opportunities young black people have today are both vastly different and greatly improved.
","swivandlanene leswi va ntshwa va vantima va nga na swona namuntlha havumbirhi swi hambanile swinene na ku va swi antswile swinene.
"
"keeping the story of june 16th alive is a reminder to today’s generation of the great sacrifices made to secure their freedom.
","ku kondletela xitori xa 16 khotavuxika xi hanya i xitsundzuxo eka rixaka ra namuntlha xa ku titsona swo tala lokukulu loku endli weke ku kuma ntshunxeko.
"
"youth day is a reminder of the immense power and agency that young people have to create a better future for themselves.
","siku ra vantshwa i xitsu ndzuxo xa matimba lama kulu na vuyimeri bya leswaku vantshwa va fanele ku titumbuluxela vumu ndzuku byo antswa.
"
"the struggles of young people in south africa today are many.
","ku kayakaya ka vantshwa eafrikadzonga namuntlha ku tele.
"
"young people have remained at the forefront of activism, whether in pursuit of free education or against social ills like genderbased violence.
","vantshwa va tshame va ri emahlweni ka vugi ngirikeli, hambi eku laveni ka dyondzo ya mahala kumbe ku lwisana na swilo leswi karhataka vanhu ku fana na madzolonga lama simekiweke eka rimbewu.
"
"today the greatest struggle young people wage is against unemployment, which has worsened under the covid19 pandemic.
","namuntlha nyimpi le yikulu leyikulukumba leyi vantshwa va nga hi hloma i ku lwisana na ku pfumaleka ka mitirho, leswi nga nyanya ehansi ka ntungukulu wa covid19.
"
"creating more opportunities for young people, and access to these opportunities, is government’s foremost priority.
","ku tumbuluxela vantshwa swivandlanene, na ku fikelela swivandlanene swoleswo, i xirhangana lexikulu xa mfumo.
"
"everything that we do as a government contributes towards improving the lives of young people.
","hinkwaswo leswi hi swi endlaka tanihi mfumo swi hoxa xandla eka ku antswisa vutomi bya vantshwa.
"
"tackling youth unemployment requires accelerating economic growth, particularly in labourintensive sectors, and building the capability of the state to fulfil its developmental role.
","ku tirhana na ku pfumaleka ka mitirho eka vantshwa swi lava ku hatlisisa ku kula ka ikhonomi, ngopfungo pfu tisekitara leti tirhisaka vatirhi vo tala kutlula mi chini, na ku aka vuswikoti bya mfumo byo hetisisa ntirho wa wona wa nhluvukiso.
"
"we are also driving this agenda through targeted interventions.
","hi tlhela hi lawula ajenda leyi hi ku tirhisa miphalalo leyi pakanisiweke.
"
"these include the presidential employment stimulus, which has provided work opportunities and livelihoods support for many young people.
","leswi swi katsaxihlohloteri xa miti rho wa phuresidente, lexi xi nyikeke swiva ndlanene swa mitirho na nseketelo wa vutihanyisi eka vantshwa.
"
"we have launched a range of additional measures to create opportunities, enhance skills development, support young entrepreneurs and enable the full participation of young people in the economy.
","hi simekile magoza yo hambanahambana yo engetela ku tumbuluxa swivandlanene, ku tiyisa nhluvukiso wa swikili, ku seketela van’wamabi ndzu va vantshwa na ku endla leswaku vantshwa va kota ku teka xiave eka ikhonomi hi ku hetiseka.
"
"this includes the establishment of a national pathway management network, sa youth, to make it easier for young people to view and access opportunities and receive active support to find pathways into the labour market.
","leswi swi katsa ku tumbu luxiwa ka netiweke ya malawulelo ya ndlela ya rixaka, vantshwa va afrikadzonga, ku olovi sela vantshwa ku vona na ku fikelela swivandlanene na ku kuma nseketelo lowu tirhaka wo kuma tindlela to nghena eka makete wa vatirhi.
"
"these are among the priorities of the presidential youth employment intervention, which was launched just weeks before we entered a national lockdown last year and which is now entering full implementation.
","leswi swi kumeka exi karhi ka swirhangana swa mphalalo wa ku thoriwa ka vantshwa wa phuresidente, loku nga simekiwa mavhiki hi nga se nghena eka ku pfariwa ka tiko hinkwaro lembe leri nga hundza naswona leswi se swi sungulaka ku tirhisiwa hi ku hetiseka.
"
"the presidential youth employment intervention was built on the understanding that addressing the youth unemployment crisis requires innovative thinking and strong partnerships across society.
","mphalalo wa ku thoriwa ka vantshwa wa phureside nte wu akiwile ehenhla ka ku twisisa leswaku ku lulamisa nkitsikitsi wa ku pfumaleka ka mitirho eka vantshwa swi lava ku ehleketa hi vutu mbuluxi na ku tirhisana loku tiyeke eka rixaka hinkwaro.
"
"its ultimate objective is to find models that work, whether in skills development or active labour market policies, and to scale these rapidly to reach as many young people as possible.
","xikongomelo xa wona xo hetelela i ku kuma timo dlolo leti ti tirhaka, hambi eka nhluvukiso wa swikili kumbe tipholisi ta makete wa vatirhi leti tirhaka, na ku swi pima hi xihatla ku fikelela vantshwa vo tala hilaha swi kotekaka hakona.
"
"most importantly, it recognises that young people must be at the centre of any effort to boost youth employment.
","xa nkoka swinene, wu tekela enhlokweni leswaku vantshwa va boheka ku va exivindzini xa matshalatshala wahi kumbe wahi ya ku nyika matimba ku thoriwa ka vantshwa.
"
"young people are our greatest asset, and our greatest weapon in this fight.
","vantshwa i rifuwo ra hina lerikuluku mba, na xitlhavana lexiku lukumba eka nyimpi leyi.
"
"we salute the resilience of every young person playing their part to build and develop this country.
","hi losa ku tiyisela ka mu ntshwa un’wana na un’wa na lontshwa loyi a endlaka xiphemu xa ntirho wa yena ku aka na ku hluvukisa tiko leri.
"
"they are the young people volunteering in our communities, building our country through the presidential employment stimulus, running their own businesses and studying to better themselves.
","hi vona vantshwa lava tinyiketelaka ku tirha eka miganga ya ka hina, ku aka tiko ra ka hina hi ku tirhisa xihlohloteri xa mitirho xa phuresidente, ku fambisa mabindzu ya vona vini na ku dyondza ku va va tiantswisa.
"
"they are the young people who are forging their own path and bringing their families along with them.
","hi vona vantshwa lava kumaka tindlela ta vona vini na ku ta swin’we na mindyangu ya vona.
"
"we salute young people who keep working to improve their lives.
","hi losa vantshwa lava va yaka emahlweni na ku antswisa vutomi bya vona.
"
"young people are doing their part; they need government, and indeed all of society, to do ours.
","vantshwa va endla xiphemu xa vona; va dinga, naswona hakunene, rixaka hinkwaro, ku va hi endla xa hina.
"
"our country is going through the most difficult of times, but we are working daily to expand the frontiers of hope.
","tiko ra ka hina ri le ka mikarhi yo tika swinene, kambe hi le ku tirheni siku na siku ku ndlandlamuxa vugimamusi bya ku tshemba.
"
"we are seeing the green shoots of growth in our economy, and are confident this will translate to better opportunities for all.
","hi vona swihluke swa rihlaza swa ku kula eka ikho nomi ya hina, naswona ha tshemba leswaku leswi swi ta hundzuka swiva ndlanene swo antswa swa hinkwavo.
"
"our task now is to ensure that young people are ready and able to access these opportunities, and to create their own.",xintirhwana xa hina sweswi i ku tiyisisa leswaku vantshwa va lunghekile na ku kota ku fikelela swivandlanene leswi na ku titumbuluxela swa vona vini.
