afr,nbl
"die departement van binnelandse sake, asook die departement van gesondheid en die departement van maatskaplike ontwikkeling het die geaffekteerde gemeenskappe gehelp om toegang tot belangrike dienste te kry.
","sezikhonjiwe neendawo ekuzakuthuthelwa kizo abantu abasesihlengeleni khona kwazulunatala.
"
"byvoorbeeld, mobiele eenhede help diegene wat kritiese dokumentasie in die oorstromings verloor het, om nuwe slim id’s te kry en om geboortesertifikate weer uit te reik.
","umnyango wezangekhaya, nomnyango wezepilo nezokuthuthukiswa komphakathi beyisiza iindawo ezithintekileko kobanyana zikghone ukuthola izenzelwa eziqakathekileko.
"
"mobiele gesondheidsdienste, insluitend kovid19inentings, word voorsien aan mense in gebiede waar die fisiese aktiwiteite nog nie ten volle operasioneel is nie.
","isibonelo, amaofisi abo makhamba ngendlwana asiza labo abalahlekelwe ziincwadi eziqakathekileko eenkhukhuleni ukuthi bathole abomazisi (amaid) abatjha bamakarajana, babe benzelwe neentifikethi zokubelethwa ezitja.
"
"meganismes is in plek gestel om die maatskaplike toelae aan die betrokke individue uit te betaal.
","eendaweni lapho kungakabukuba namaziko wezepilo asebenza ngokupheleleko, abantu bathunyelwa amatlinigi abomakhamba ngendlwana, hlangana nawo ekubalwa nalawo wokujovela icovid19.
"
"mobiele klaskamers word verkry sodat onderrig en leer nie langer as wat nodig is in die vloedgeteisterde skole onderbreek word nie.
","sekwenziwe namahlelo wokuthi basizwe ngesibonelelo (semali) sembusweni abantu abathintekileko kilokhu.
"
"herstelwerk vind tans aan rioolwaterwerke, pompstasies en retikulering plaas.
","amatlasi abomakhamba ngendlwana asabuthelelwa, kobanyana ukufunda nokufundisa kungazokuliyeka ukudlula lesisikhathi esele kuliyeke ngaso eenkolweni zeendawo lapho kusahlele khona iinkhukhula.
"
"paaie wat beskadig is, word herstel.
","sewuthonyiwe nomsebenzi wokuvuselela iindawo zokuhlanzekisa amanzi, neenteyitjhi ezipompa amanzi kunye namahlelo wokukhambisa amanzi.
"
"daar word agtien nuwe brûe beplan as deel van die welisizwe landelike brugprogram.
","ziyalungiswa neendlela ezonakeleko.
"
"daar is ook aansienlike vordering gemaak in die herstel van sleutelinfrastruktuur wat aan die durbanse hawe ondersteuning bied.
","ali18 amabhlorho amatjha alungiselelwa ukwakhiwa njengengcenye yehlelo lewelisizwe rural bridges.
"
"gegewe die belangrikheid van die hawe vir die nasionale en kontinentale ekonomie, is haweverkeer herstel, terminaalaktiwiteit weer op vol kapasiteit en herstelwerk aan die beskadigde spoorinfrastruktuur is aan die gang.
","yihle indima esele yenziwe ngokulungisa umthangalasisekelo oqakathekileko osekela ikhumulo lemikhumbi ledurban.
"
"bykomende maatreëls word ook in plek gestel om finansiële ondersteuning te bied aan sowel groot as klein sakeondernemings wat in die nood is.
","njengoba lelikhulumulo liqakatheke kangaka nje elizweni njengesika yomnotho welizwe lekhethu newekhonthinenthi yeafrika yoke, izinto ezithuthela nezithutha ipahla kilelikhumulo sezibuyiselwe ehlelweni lazo lokusebenza elijayelekileko, umsebenzi wokukhweza nokwehlisa sewubuyele ngokupheleleko endimeni yokusebenza, kanti sewuthomile nomsebenzi wokuvuselela umthangalasisekelo wesiporo owonakeleko.
"
"dit is dringend nodig sodat besighede in bedryf kan bly en poste behou word.
","kusahlanganiswa amanye amahlelo wokusiza amabhizinisi amancani namakhulu kilawo acaphazeleke kumbi.
"
"ons is al op verskillende stadiums in die geskiedenis van ons demokrasie gekonfronteer met gebeure en omstandighede wat die deursettingsvermoë van ons mense en die doeltreffendheid van ons instellings tot die uiterste beproef het.
","lokhuke kuyinto erhabekileko, kobanyana amabhizinisi azokuhlala asebenza, nabantu bangazokonakalelwa misebenzi ngeenkhathi ezihlukileko emlandweni welizwe lekhethu wehlelo lentando yenengi, sikhe sahlangabezama nezehlakalo nobujamo obulinge amandla wabantu bekhethu wokurarulula imiraro kunye namandla wekghono lesisekelo sethu.
"
"ons het buitengewone meelewendheid en ondersteuning aan die geaffekteerde gemeenskappe in kwazulunatal, die ooskaap en noordwes gesien.
","sibone ukuzwelana okunamandla ngendlela engakajayeleki nesekelo ebantwini abacaphazelekileko kwazulunatala, epumalanga kapa kunye netlhagwini tjingalanga.
"
"munisipale en provinsiale regerings werk nou saam met nasionale departemente en agentskappe om mense in staat te stel om hulle lewens weer op te bou en die plaaslike ekonomie weer aan die gang te kry.
","abomasipala kunye naborhulumende beemfunda bebasebenzisana ngokubambisana neminyango karhulumende omkhulu neenjamiso ezithunywe ukusiza kobanyana kusizwe abantu kobana bavuselele ipilwabo babe babuyise nemisebenzi yomnotho yeendawo ngeendawo.
"
"hulle het saam met al die rolspelers in al dié gebiede gewerk om seker te maak dat ons die herstelpogings doeltreffend koördineer en dat ons op n wyse beplan en herbou wat meer veerkragtig is in die geval van sodanige uiterste gebeure in die toekoms.
","bebasebenzisane nabo boke ababelani kizo zoke iindawezi ukuqinisekisa ukuthi yoke imisebenzi yokuvuselela nokwakha ngobutjha ihlangana kuhle besikghone nokuhlela besakhe ngobutjha ngendlela ezakwenza ukuthi ngomuso izehlakalo ezinje sibe namandla angcono wokujamelana nazo.
"
"die wilskrag van die geaffekteerde gemeenskappe, hulle vasberadenheid om te slaag en hulle vermoë om saam te staan in krisistye, is n inspirasie.
","ukubambelela kwabantu eendaweni ngeendawo ezithintekileko, ukuzibophelela kwabo, ukuphumelela kunye nekghono labo lokuhlangana babe yinyanda ngeenkhathi zobudisi kube sikhuthazo esikhulu.
"
"ons salueer almal wat deel was van die poging om die mense in die geaffekteerde provinsies te help.
","sibathokoza asiwuvali umlomo boke labo ababe yingcenye yomzamo wokusiza abantu beemfunda ezithintekileko.
"
"as regering mobiliseer ons al die beskikbare hulp bronne en doen ons alles in ons vermoë om seker te maak dat, soos ons besig is om te herbou, niemand agtergelaat word nie.","njengorhulumende, sikhwezelela yoke imithombo yamandla ekhona besizibophelela ngakho koke ukuqinisekisa ukuthi kungabi namuntu ozakusala ngemva njengoba sivuselela, sisakha ngobutjha nje."
